label,statement,subjects,domain
false,We didnt go out asking people to join the stand your ground task force .,"crime,public-safety",military
true,Rhode Islands exports have increased by 53 percent in the last two years .,"economy,states,trade",business
false,Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,"corporations,economy,jobs,labor,unions",business
mostly-true,Mitt Romney boasts that he is proud to be the only major candidate for president to sign the tax pledge . The others have not .,taxes,taxes
half-true,More than 250 (voter registration) groups ranging across the entire political spectrum have filed with the state and are registering voters right now .,elections,politics
mostly-true,Barack Obama got more campaign contributions from Fannie Mae and Freddie Mac than any other member of Congress except for the Democratic chairmen of the committee that oversees them .,ethics,politics
barely-true,I brought down crime more than anyone in this country - maybe in the history of this country - while I was mayor of New York City . -,crime,crime
half-true,A planning group said that to meet anticipated traffic demands by 2035 Interstate 35 between Austin and Round Rock will need a dozen additional lanes going north and 14 additional southbound lanes .,transportation,transportation
pants-fire,Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority .,campaign-finance,crime
mostly-true,The United States is the only developed country in the world without paid maternity leave .,"jobs,women,workers",social issues
mostly-true,A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening .,state-budget,education
false,Rhode Islands unemployment insurance system is the most expensive such system in the country .,"economy,government-efficiency,government-regulation,small-business,state-budget,state-finances,states,taxes,workers",social issues
true,Says a YouTube video shows Thomas DiMassimo the man who rushed Trump at an Ohio rally dragging the American flag on the ground like it was a piece of garbage .,elections,politics
true,Obama worked with Sen . Dick Lugar a Republican to help lock down loose nuclear weapons .,military,politics
half-true,The United States spends $2.2 billion on free cell phones $27 million on Moroccan pottery classes and pays for the travel expenses for the watermelon queen in Alabama .,"agriculture,federal-budget,foreign-policy,poverty",technology
pants-fire,The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria .,"afghanistan,immigration,terrorism",immigration
half-true,The transportation package passed by the General Assembly would impose the largest tax increase in Virginias history .,taxes,transportation
mostly-true,My home state since June of 2009 created 40 percent of the new jobs in America .,jobs,economy
barely-true,Onion Creeks highest flow rate on a recent night of flooding was 120000 cubic feet per second which is nearly double the average flow rate of Niagara Falls .,"corrections-and-updates,water",environment
half-true,As governor of Florida I used a combination of strategies to help reduce heroin use among youth in Florida by approximately 50 percent .,"drugs,health-care,public-health",social issues
half-true,Says last year 13 million (health insurance) rebates went out in all 50 states . Another 8.5 (million) rebates are being sent out this summer averaging around 100 bucks each .,health-care,health
mostly-true,Says his state budget will provide an increase in state funding for the 2011-12 school year .,"education,state-budget",education
false,Says the estate tax in many cases forces family farmers and small businesses owners to sell their holdings .,"agriculture,families,small-business,taxes",taxes
true,Sayvideo shows massive alligator strolling across Florida golf course .,animals,sports
half-true,On whether people can keep their insurance under the Affordable Care Act .,health-care,health
mostly-true,We re spending $1.6 billion for all of Latin America in terms of aid and assistance a fraction of what we re spending in Iraq the $500 billion we ve spent there,foreign-policy,foreign policy
true,If you look at the number of illegal immigrants coming into the country it is net zero . Its been that way now for almost two years .,immigration,immigration
half-true,Weve introduced a bill that includes $12 billion in cuts over the next week .,federal-budget,politics
false,Wisconsins lawsuit rules are so anti-business that the states system is one of the most promiscuous in America .,"legal-issues,small-business",business
pants-fire,Says Joseph Stalin said if you want to bring America down you have to undermine three things : our spiritual life our patriotism and our morality .,foreign-policy,social issues
mostly-true,From now on we have to pay the Russians $50 million an astronaut to send Americans to the space station,space,business
mostly-true,The gender gap in his support is not unique to me and theres not a huge gap from where Republicans have been in presidential gubernatorial and US Senate elections in recent years .,"elections,women",politics
false,Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China .,"china,jobs,message-machine-2012",business
false,In 2011 Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections .,"elections,legal-issues",law
barely-true,Across the country more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama .,legal-issues,law
false,The Red Sox waited 87 long years to win the World Series .,"baseball,recreation",sports
true,Almost every state has offered an insurance plan on its health exchange that does not cover abortion .,"abortion,health-care,women",social issues
false,The largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed governor .,"corporations,economy,small-business,taxes",taxes
true,Georgia has the second-highest rate of childhood obesity in the United States .,children,health
mostly-true,Says Tom Ganley has been sued over 400 times for fraud discrimination and more and a judge called Tom Ganleys business practices deceptive and unconscionable .,"job-accomplishments,message-machine",business
half-true,A recall election for Wisconsin governor would cost $7.7 million - $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids .,"education,elections,health-care,state-budget",politics
half-true,Says my plan is a property tax cut .,"state-budget,taxes",taxes
false,We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse .,"consumer-safety,food-safety,health-care,taxes",health
half-true,Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one . Pathetic .,patriotism,politics
pants-fire,A bill by Earl Blumenauer would mandate GPS tracking devices on all our vehicles .,"privacy,transportation",transportation
barely-true,As a prosecutor Wisconsin Supreme Court Justice David Prosser did not investigate or file charges in a case involving 30-year pedophile priest then participated in cover-up .,legal-issues,crime
false,There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election .,"congress,history,legal-issues,supreme-court",politics
barely-true,Health insurance and medical costs are going down because of Obamacare .,"elections,health-care",health
mostly-true,The war on drugs led to a 500 percent increase in incarceration in our country disproportionately affecting poor and disproportionately affecting minorities .,crime,social issues
half-true,Says Texas GOP platform calls for end to teaching critical thinking in public schools .,education,politics
true,Four out of 10 homicides are committed by gun in this city .,"crime,guns",crime
pants-fire,A picture shows former President Bill Clinton naked with another woman .,fake-news,social issues
false,There is no disagreement that we need action by our government a recovery plan that will help to jump-start the economy .,"economy,stimulus",economy
barely-true,If you want out of the individual mandate . all you have to do now is tick off the box that says hardshipand youre out .,health-care,law
barely-true,Many Nevadans relied on Uber for work but after accepting $70000 from taxi companies Catherine Cortez Masto went after Uber . (driving) them out of town .,transportation,transportation
pants-fire,Says it probably costs more than $300000 to run for a seat on the Pedernales Electric Cooperative board of directors .,"elections,energy",energy
half-true,Last month 44 of the 50 states saw an increase in the unemployment rate .,"economy,jobs,states",economy
false,Wind power is the most undependable form of renewable energy .,"economy,energy,environment,science,technology",energy
mostly-true,Charlie Crist allowed college tuition to increase up to 15 percent every year .,"education,state-budget",education
true,The House has never failed to pass a budget in the modern era .,"federal-budget,abc-news-week",law
half-true,Mr . Renacci was registered as a foreign trade lobbyist in the United States government .,"campaign-advertising,trade",foreign policy
true,Tommy Thompson created the first school choice program in the nation giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make .,education,education
mostly-true,Says the main Central Texas food bank is delivering 50 percent more food to the poor than three years ago .,"economy,poverty",social issues
false,McCain still thinks it s okay when women don t earn equal pay for equal work .,legal-issues,social issues
true,The Baucus bill contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion .,"abortion,health-care",social issues
barely-true,Gene Green is the NRAs favorite Democrat in Congress . . Its no wonder the congressman has a lifetime A rating from the NRA .,guns,politics
true,Obama won health care for 150000 people .,health-care,health
mostly-true,The CBO says that if you raise the minimum wage to $10.10 an hour half a million people would lose their jobs .,"economy,jobs",social issues
half-true,State lawmakers are spending taxpayer money for parking that billionaire Arthur Blank could build while paying some state employees so little they are on food stamps .,"economy,poverty,sports,state-budget,state-finances,transparency",social issues
true,State governments have little ability to stimulate job growth in the short run .,economy,economy
true,He (Obama) chairs the subcommittee on Europe . . He s held not one substantive hearing to do oversight .,foreign-policy,foreign policy
half-true,Says the U.S. federal income tax rate was 0 percent until 1913 .,"history,taxes",taxes
true,Sarah Palin already has more executive experience than Barack Obama and Joe Biden combined .,candidates-biography,politics
true,Texas has now the highest share of minimum-wage workers in the nation .,workers,economy
mostly-true,Two months ago Donald Trump said that ISIS was not our fight .,"foreign-policy,terrorism",politics
half-true,Says that on average Democratic congressional districts received 81 percent more stimulus funds than Republican districts .,stimulus,politics
barely-true,You had supported John McCain s military strategies pretty adamantly until this race .,iraq,military
half-true,Says critics who say he cut Medicaid are wrong ; his budget added $1.2 billion to the program,"medicaid,state-budget,state-finances",health
half-true,Says she will work to raise the federal minimum wage back to the highest level its ever been $12 an hour in todays dollars .,"economy,jobs,workers",politics
barely-true,$29 is what families on SNAP (i.e. food stamps) have to live on for a week .,"federal-budget,hunger",welfare
half-true,The Medford Water Commission was fined $279000 for dumping plain drinking water into a stream .,"environment,government-regulation,water",crime
true,Nothing in the Constitution explicitly guarantees our right to vote .,"elections,legal-issues,supreme-court",politics
half-true,Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million to defeat Josh Mandel .,"campaign-finance,elections",politics
false,On the new dollar coins In God We Trust is gone,patriotism,religion
mostly-true,Says Gov . Scott Walkers proposed state budget contained 110 pages of errors - an unusually high number - and millions of dollars worth of mistakes that were corrected with a follow-up document .,state-budget,politics
mostly-true,Takes credit for substantially reducing the size of the state workforce .,"job-accomplishments,jobs",economy
true,If you look at most of the polls this is a margin-of-error race on Fourth of July between Mitt Romney and the president .,"elections,polls",politics
true,In the last 10 years Georgias middle class income has dropped $6500 .,"census,income",economy
true,Rooting for the Red Sox is like rooting for the drug companies .,baseball,business
false,Says Rick Perrys Pay to Play politics led him to send $899 million to an offshore call center in Bermuda driving down enrollment in childrens health insurance,health-care,politics
true,On allowing a vote on universal gun background checks in the U.S. Senate .,guns,politics
barely-true,President Barack Obama Nancy Pelosi and Harry Reid support Rick Perrys decision to give in-state tuition to illegal immigrants .,"education,immigration",immigration
true,Obama has more czars than the Romanovs .,pop-culture,politics
false,Gov . McDonnells proposed budget is cutting public education .,"city-budget,county-budget,education,pensions,state-budget",education
false,A [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers .,"crime,criminal-justice",technology
true,Medicare costs have slowed down dramatically . In fact the first two months of this fiscal year Medicare costs were down even in nominal terms relative to the previous year .,"federal-budget,health-care,medicare",health
barely-true,Says Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market .,"retirement,social-security",politics
half-true,U.S. Rep . Connie Mack voted to raise his own pay several times .,"congressional-rules,federal-budget,income",politics
mostly-true,No poll done this year . shows less than a majority to reinstate a federal ban on assault weapons .,"guns,polls",politics
true,I have spent virtually every weekend since Memorial Day in the Panhandle .,oil-spill,environment
pants-fire,In the 2012 election there were more votes cast than registered voters in St . Lucie County and Palm Beach County had 141 percent turnout .,elections,politics
pants-fire,Im not a conspiracy theorist and I never allow conspiracy theorists on my program .,pundits,business
mostly-true,Says Romney called Russia our No . 1 enemy .,foreign-policy,foreign policy
false,Theres been no conclusive or specific report to say Russia was trying to muddy the election .,"elections,foreign-policy",politics
false,Says Christopher Little has a history of working against environmental protection by defending the worst types of corporate polluters,"candidates-biography,elections,environment,legal-issues",environment
half-true,John Kasich says he won despite 12 visits by a president somewhere between $45 (million) and $50 million (spent against him) 500 paid volunteers in here calling me every name in the book former presidents first ladies and God-knows-who-else .,elections,politics
half-true,Opponents of Section 5 (of the Voting Rights Act) complain of state expense yet their only cost is the paper postage and manpower required to send copies of legislation to the federal government for review .,"elections,supreme-court",social issues
barely-true,Says Nick Kahl made it harder for many families to cover basic health care expenses .,"health-care,taxes",health
barely-true,In California the windmills are killing hundreds and hundreds of eagles .,"energy,environment",environment
true,There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that confidential .,"government-efficiency,jobs",business
mostly-true,We did not even have a federal income tax in this country until 1913 .,"history,taxes",taxes
barely-true,The White House is won in the swing states and I am winning the swing states .,elections,politics
mostly-true,Says opponent U.S. Rep . Gwen Moore is Wisconsins most absent member of Congress missing nearly 17 percent of the House votes in the second quarter of 2012 .,voting-record,politics
false,Says Gov . Scott Walker dropped out or was kicked out of college short of a degree not long after he was kicked out of student elections at Marquette University .,"candidates-biography,education",education
barely-true,Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before .,education,education
half-true,When it comes to transportation funds Georgians spend more in taxes and on red tape than they get back from the federal government .,"taxes,transportation",transportation
barely-true,Federal stimulus money went to a Georgia Tech project that will apparently involve the professor jamming with world-renowned musicians to hopefully also create satisfying works of art .,stimulus,culture
true,The U.S. doesnt make television sets anymore .,"technology,trade",technology
mostly-true,When these same Republicans - including Mr . Boehner - were in charge the number of earmarks and pet projects went up not down .,federal-budget,politics
false,Wisconsins projected state budget shortfall is now as low as $1.5 billion,state-budget,economy
true,Heroin . pours across our southern borders .,drugs,crime
true,Before the Republican wave in 2010 Democrats had an advantage on the generic ballot in Congress . Even in 1994 with the Gingrich revolution . Democrats had that advantage .,elections,politics
half-true,Roy Barnes made Georgia dead last in education and Georgia led the nation in job losses .,"economy,education,message-machine",education
true,Sen . McCain was already turning his sights to Iraq just days after 9/11 and he became a leading supporter of an invasion and occupation of (Iraq).,iraq,foreign policy
barely-true,In labor negotiations with city employees Milwaukee Mayor Tom Barrett demanded concessions that went beyond those mandated by Gov . Scott Walkers collective bargaining law,"city-budget,labor",politics
mostly-true,Says hes arrested more criminals including thousands of child predators and sex offenders than any previous Texas attorney general .,"crime,criminal-justice,job-accomplishments,public-safety",crime
true,Brazil built a $300 million stadium in the Amazon rainforest that is only going to be used for four World Cup games and theres no team that can fill it afterwards .,sports,sports
barely-true,Sources show (Connie) Mack as a resident of California living with his wife in Palm Springs .,candidates-biography,housing
mostly-true,We have an Army that just cut 40000 spots .,military,military
mostly-true,In South Sudan more teenage girls die in childbirth than finish high school .,"education,foreign-policy,poverty,public-health,women",health
false,Says Ohio Rep . Marcy Kaptur actually lives in a fancy condo in the Washington D.C. suburbs .,"congress,elections,job-accomplishments,message-machine-2012",housing
pants-fire,U.S. Rep . Jim Langevin didn t want a border fence to block illegal immigration because he is afraid that someone will get hurt trying to go around the fence .,"homeland-security,human-rights,immigration",immigration
mostly-true,Despite attention on global warming fewer Americans carpool today to work than carpooled in 1980 and SUVs have never been a larger proportion of the vehicles being sold in this country .,"climate-change,environment,transportation",transportation
mostly-true,Says in 2002 he won more Hispanic votes than Anglo votes 60 percent in the state .,"candidates-biography,diversity,elections",politics
mostly-true,A lot of the ideas in terms of the (health insurance) exchange just being able to pool and improve the purchasing power of individuals in the insurance market that originated from the Heritage Foundation .,health-care,health
false,Says Mitt Romney supports cap and trade .,"cap-and-trade,climate-change,corrections-and-updates,message-machine-2012",politics
barely-true,Since the beginning of the year weve created a net increase of 45000 jobs .,"economy,jobs",economy
mostly-true,Texas has a higher unemployment rate than neighboring states .,economy,economy
true,The State Election Board has issued nearly $275000 in fines to violators of absentee ballot laws .,elections,law
mostly-true,My supporters arent special interest groups in Madison and Milwaukee .,campaign-finance,politics
half-true,While 9000 state employees were added to the states payroll Oregons revenue forecasts dropped by more than $4 billion .,"state-budget,state-finances",economy
half-true,John McCain fought to rein in Fannie and Freddie . but Democrats blocked the reforms .,economy,politics
true,Dark money spending in the 2016 election cycle is 10 times what it was at the same point in the 2012 election cycle when it topped $308 million .,"campaign-finance,congress,elections",politics
pants-fire,Says there is an upcoming vote to preserve benefits of Texas homestead exemption for seniors and the disabled .,"elections,taxes",social issues
pants-fire,The government is trying to now close the Lincoln Memorial for any kind of large gatherings .,"civil-rights,pundits",politics
barely-true,You know what (Saddam Hussein) did well He killed terrorists .,"foreign-policy,terrorism",military
barely-true,The average age of the minimum wage worker is 35 years old .,"corporations,economy,government-regulation,income,labor,poverty,states,wealth,workers",economy
half-true,Says McCain supported George Bush s policies 95 percent of the time .,bush-administration,politics
true,More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history .,"guns,military",military
true,There is no war on coal . Period . There are more coal jobs and more coal produced in Ohio than there were five years ago in spite of the talking points and the yard signs .,"economy,energy,environment,jobs",energy
pants-fire,Says One of the states largest governments made charging this tax one of their top priorities just this year .,"message-machine-2012,taxes",taxes
false,The immigration bill has a specific provision that says that Secretary Napolitano does not have to build any fence if she chooses not to .,immigration,immigration
half-true,Says Donald Trump publicly invited Putin to hack into Americans (emails).,"civil-rights,crime,foreign-policy,homeland-security,technology",politics
half-true,The Congressional Budget Office estimates that for every $1 we spend on unemployment benefits $1.90 is put into our economy .,"economy,federal-budget,stimulus,taxes",economy
mostly-true,In Syria we struck a deal where we got 100 percent of the chemical weapons out .,foreign-policy,foreign policy
false,On redistricting .,redistricting,politics
mostly-true,We had a three-hour debate no discussion about the national debt very little about the economy .,"debates,elections",economy
mostly-true,Obama-Nelson economic record : Job creation . at slowest post-recession rate since Great Depression .,"economy,jobs",economy
half-true,Says Democrat Hank Gilbert has a criminal conviction for theft has multiple years of unpaid taxes has multiple tax liens and fines unsafe driving convictions (and) has recently been accused of taking a bribe and is on record lying to the press this year about his criminal record .,"candidates-biography,crime",crime
pants-fire,The Trans-Pacific Partnership was designed for China to come in as they always do through the back door and totally take advantage of everyone .,"china,trade",politics
true,More women are graduating from college now than men .,"education,women",education
mostly-true,We have 41000 people right now on the waitlist for financial-based assistance for our tech colleges and universities most of them for tech schools .,"education,state-budget",education
barely-true,Were taxing our small businesses now at rates higher than corporations .,"corporations,small-business,taxes",business
false,Says the stimulus bill sent tax credits overseas such as half a billion to an electric car company that created hundreds of jobs in Finland .,"corporations,energy,environment,message-machine-2012,stimulus",energy
true,Health insurance companies costs are only 4 percent of all health care spending .,health-care,health
mostly-true,Says Donald Trump once suggested that he would try to negotiate down the national debt .,"candidates-biography,debt,deficit,economy,federal-budget",politics
mostly-true,Says DonaldTrump got you know $1.8 billion worth of free media . I got like none .,elections,business
mostly-true,When I withdrew in June of 2008 polls were showing that at least 40 percent of my supporters said oh they werent going to support Sen . Obama .,polls,politics
pants-fire,Says Larry Taylor gave in-state tuition to illegal immigrants .,"education,immigration",education
false,After the attack on a U.S. diplomatic mission in BenghaziLibyathe ambassadors body was dragged through the street .,"foreign-policy,terrorism",transportation
half-true,The increase in the current state budget was greater than the inflation rate and the rate of population growth in Georgia .,state-budget,economy
false,Six thousand people have sought addiction treatment through expanded Medicaid .,"bipartisanship,drugs,medicaid",social issues
mostly-true,When students leave our high schools and they go to the community college 70-75 percent of them have to pay to take remedial math .,"children,education",education
barely-true,Of those 850000 (new Texas) jobs most were public-sector jobs and minimum-wage jobs .,"economy,jobs",economy
barely-true,It is a fact that it costs more to run the schools in August .,education,education
false,The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners .,"deficit,federal-budget,taxes",business
barely-true,Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending while the percentage for Barack Obama is not projected to drop below 22.8 percent .,"federal-budget,pundits",economy
half-true,Fifty-seven of Rubios 100 ideas ultimately became law .,"candidates-biography,florida",law
half-true,Ninety-six percent of failing schools are spending above $8400 the average annual per student expenditure and 26 percent spend considerably more than that .,education,education
pants-fire,About 78 to 81 House Democrats are members of the Communist Party . . Its called the Congressional Progressive Caucus .,candidates-biography,politics
half-true,Military spending cuts known as the sequester were President Barack Obamas idea .,"federal-budget,military",military
mostly-true,George Bush and a Republican Congress have presided over a 55 percent increase in the size of domestic government spending in the last seven years .,federal-budget,politics
barely-true,Clinton aides admit it (a gas tax holiday) won t do much for you but would help her politically .,energy,politics
false,Bill McCollum backed Jim Greers effort to hide financial irregularities .,"ethics,message-machine,transparency",politics
mostly-true,First he was in favor of my plan now he s attacking it .,iraq,politics
pants-fire,Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies - as well as the Word of God - worldwide .,"religion,transparency",transportation
true,Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket .,"candidates-biography,corporations,energy,environment,oil-spill,pundits",business
barely-true,All Aboard Florida is a 100 percent private venture . There is no state money involved .,"state-budget,transportation",business
pants-fire,Fox News is banned in Canada because it violatesa law thatprevents news channels from lying to their viewers .,"ethics,foreign-policy",law
half-true,On ending stop and frisk,public-safety,law
false,Says under President Barack Obama theres been the lowest discretionary spending weve had in decades in the United States .,federal-budget,politics
false,In one year (President Obama) provided $90 billion in breaks to the green energy world into solar and wind to Solyndra and Fisker and Tesla and Ener1 .,"candidates-biography,corporations,debates,energy,environment,stimulus",energy
half-true,Says that 98184 Texans are now driving with temporary drivers licenses lacking their photos .,"crime,elections,legal-issues",transportation
pants-fire,Youve been tremendously deceived by people who say the Earth is not flat .,"corrections-and-updates,science,space",crime
half-true,Jennifer Carrolls an outsider .,"candidates-biography,elections",culture
false,Hedge fund managers pay less in taxes than nurses and truck drivers .,"economy,income,jobs,taxes",taxes
mostly-true,Says President Barack Obamas approval rating gained 3 points in the last couple months .,polls,politics
mostly-true,In the city of Milwaukee weve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city .,"city-budget,crime",crime
half-true,A proposal to reduce the deficit involved large tax cuts for the top bracket .,"federal-budget,taxes,abc-news-week",taxes
half-true,Says Mitch McConnell voted two times against the Violence Against Women Act .,"crime,criminal-justice,message-machine-2014,women",social issues
mostly-true,His new running mate Congressman Ryan put forward a plan that would let Governor Romney pay less than 1 percent in taxes each year .,taxes,politics
false,Wisconsin law says all recall petition signers must sign in the presence of another person .,elections,law
false,In early voting in Miami-Dade County there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open .,"elections,florida",politics
half-true,I never lobbied under any circumstance for Freddie Mac .,"campaign-finance,ethics",housing
half-true,Says Mitt Romneys housing policy is Dont try and stop the foreclosure process . Let it run its course and hit the bottom .,"housing,message-machine-2012",housing
barely-true,In just a few years in office Sen . Obama has accumulated the most liberal voting record in the Senate .,candidates-biography,politics
true,Whether the Amendment passes or not the medical use of marijuana is a federal criminal offense .,"criminal-justice,drugs,health-care,marijuana,states",crime
pants-fire,Jules Bailey was instrumental in creating the Business Energy Tax Credit that let companies like Wal-Mart profit by $11 million while costing the Oregon general fund $33 million .,"state-finances,taxes",energy
half-true,Based on current trends 15.5 million girls will be married in the next 16 years as children .,women,social issues
mostly-true,New Mexico was 46th in teacher pay (when he was elected) now we re 29th .,education,education
false,The big Wall Street banks the big corporations give many times more political donations to Democrats than Republicans .,"campaign-finance,corporations,elections",politics
false,David Perdue has never voted in a Republican primary until his name was on the ballot .,voting-record,politics
half-true,If you don t count illegal aliens people who qualify for other insurance and people who make more than $75000 a year it leaves about 15 million people who are uninsured .,health-care,immigration
true,The War in Afghanistan is officially the longest war Americans have ever been asked to endure .,"afghanistan,history,military",foreign policy
half-true,Says JimRenacci has consistently voted for loopholes that encourage outsourcing of our jobs .,"financial-regulation,taxes,trade,voting-record",politics
false,Says in Texas its legal to shoot someone whos committing a public nuisance under the cover of dark .,"guns,legal-issues",law
barely-true,A small business receiving a federal tax credit to provide health care for its employees . would be barred under the Stupak Amendment from allowing their employees to use . the health care that they offer them for abortion .,"abortion,health-care",business
mostly-true,Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent .,health-care,health
mostly-true,Says Barack Obamas comments indicate he believes in redistribution of wealth .,"government-efficiency,message-machine-2012",social issues
half-true,Says of the 2000 Portland households in the year-long (composting) pilot 87 percent of participants reported being satisfied with the overall system .,polls,environment
false,Says Oregon state employees received a catch-up pay raise in 1981 - just two years after they agreed not to take a raise in exchange for a retirement benefit .,"labor,retirement,unions",economy
mostly-true,Here in Pennsylvania the annual cost for infant childcare is over $10000 per child which is more than most families pay in rent and almost the same cost as in-state college tuition .,"children,families,poverty",economy
false,All of Texas is conservative except a little bit of Austin .,"polls,states",politics
true,Under this tax cut middle-class families dont save enough for a weeks worth of groceries while millionaires save enough to go on an exotic vacation .,"income,taxes",taxes
true,The poverty rate amongst women is the worst its been in 17 years and the extreme poverty rate is the worst its ever been .,"poverty,women",social issues
pants-fire,Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance .,"health-care,religion",law
false,Scientists have shown us (that) the greater possibilities the real science movement has been with adult stem cell research . It has not been with embryonic .,health-care,science
half-true,On the National Animal Identification System .,"agriculture,candidates-biography",technology
pants-fire,Elorza wants to teach our public school children about the non-existence of God .,"candidates-biography,education,government-regulation,legal-issues,campaign-advertising,pop-culture,religion,science,unions",religion
barely-true,Donald Trump says that NATO is obsolete and that we need to get rid of NATO .,"foreign-policy,military",foreign policy
false,On implementing a sales tax .,"message-machine,taxes",taxes
false,A few weeks ago (the) education committee in Congress is deciding whats going to be in your local salad bar .,"congress,education,food-safety,market-regulation",education
half-true,Ninety percent of the people in Arkansas still love Bill Clinton .,"elections,abc-news-week",culture
mostly-true,The problem of unwanted sexual contacts in the military is not just a womans issue . More than half of the victims are men .,military,military
true,Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused .,"children,crime,families,marriage",science
false,A proposed regional transportation tax will last a minimum of 10 years and has been approved to last longer .,transportation,transportation
half-true,Says our 12 month job increase was the sixth highest in the nation .,jobs,business
false,Warren Buffett called (Jeff) Greenes scheme financial weapons of mass destruction .,"candidates-biography,financial-regulation,message-machine",crime
false,Its not true that since hes been the president executions in Iran have increased by four times .,"crime,human-rights,abc-news-week",crime
half-true,Says I am happy to decline PERS so that the County can save over $68000 over a four year term that would have been paid on my behalf .,"county-budget,county-government,message-machine-2012,retirement",economy
half-true,Says Chris Dudley thinks Oregons minimum wage is too high .,"jobs,message-machine",social issues
false,Over half the people on disability are either anxious or their back hurts .,disability,social issues
half-true,The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing . They resisted any change .,economy,politics
true,Today California is kicking our butt creating more jobs and more economic growth than Texas .,"economy,jobs,states",economy
barely-true,Says Gov . Mike Pence and Rep . Mike Coffman take the same positions on a number of things . Coffman and Pence oppose equal rights for LGBT Americans .,gays-and-lesbians,social issues
barely-true,All of Floridas four-year state colleges now offer bachelors degrees for only $10000 .,education,education
false,One of every two Wisconsin residents are on some kind of government handout .,"federal-budget,medicare,social-security",welfare
false,A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention Control and Countermeasure Program when dealing with spilt milk - the same regulations oil and natural gas producers must follow .,environment,agriculture
true,Last year we had zero percent growth in GDP in Virginia . The only states that did worse than us were Alaska and Mississippi .,economy,economy
false,In the U.S. Constitution theres a little section in there that talks about life liberty and the pursuit of happiness .,history,law
mostly-true,In 1990 the U.S. led the world in the percentage of 25-34 year olds with college degrees . Today we are in 12th place .,education,education
mostly-true,I have something in common with my husband . He never carried caucuses either . He lost all of the ones that I ve lost .,elections,culture
false,Your tax dollars are not being used to sue you the people .,redistricting,taxes
half-true,Federal state and local governments have subsidized the production of the Volt to the tune of estimates between $50000 and $250000 per vehicle sold .,"corporations,energy,technology",transportation
half-true,In Cobb County every meeting opened with a prayer . The ACLU objected . Sued . [Sam] Olens took on the ACLU and won,"legal-issues,religion",religion
true,Felony crimes in the city of Atlanta are the lowest they have been since 1969 .,crime,crime
true,Both the Democratic and Republican candidates for president in 2016 are quite unpopular .,elections,politics
half-true,Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012 .,elections,politics
barely-true,Says Hillary Clinton takes tens of millions of dollars from countries that hate women that disrespect women that throw gays off of buildings .,"foreign-policy,terrorism",social issues
true,Says he came to the Republican Party sooner in age than Ronald Reagan .,"candidates-biography,new-hampshire-2012",politics
mostly-true,Voter turnout for some groups in the 2008 presidential general election in Georgia was far greater than it should have been demographically .,elections,politics
pants-fire,Fluoride in the water that was originally done by the Nazis,"corrections-and-updates,history,public-health,science,water",environment
true,He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq .,iraq,foreign policy
barely-true,If an individual is determined to commit suicide the availability of a gun is not a factor because they will find a way .,"guns,public-health",crime
false,Presidents Hoover Truman and Eisenhower collectively ordered the deportation of at least 15 million illegal aliens .,"history,immigration,legal-issues",immigration
